parent, missing, reason, include
Desai2006, Desai1999, SSA, yes
Boily2008, Desai2006, TBD, yes
Hontelez2011, https://doi.org/10.1080/08898480009525479, TBD, yes
Johnson2011, https://doi.org/10.4054/DemRes.2009.21.11, TBD, TBD
Johnson2007, https://doi.org/10.4054/DemRes.2006.14.22, TBD, yes
Thomas2010, https://doi.org/10.1142/S0218339009003083, TBD, no-full-text
Andersson2011, Stover2007, TBD, yes
Omondi2019, Omondi2018, TBD, yes
Stover2007, Stover2006, TBD, TBD
Beacroft2019, Smith2016, TBD, yes
Wagner2012, Granich2012, TBD, yes
